id;id_cer;nom_cercle;id_reg_id
1;1;KAYES;1
2;1;BAFOULABE;1
3;1;DIEMA;1
4;1;KENIEBA;1
5;1;KITA;1
6;1;NIORO;1
7;1;YELIMANE;1
8;2;KOULIKORO;2
9;2;BANAMBA;2
10;2;DIOILA;2
11;2;KANGABA;2
12;2;KATI;2
13;2;KOLOKANI;2
14;2;NARA;2
15;3;SIKASSO;3
16;3;BOUGOUNI;3
17;3;KADIOLO;3
18;3;KOLONDIEBA;3
19;3;KOUTIALA;3
20;3;YANFOLILA;3
21;3;YOROSSO;3
22;4;SEGOU;4
23;4;BARAOUELI;4
24;4;BLA;4
25;4;MACINA;4
26;4;NIONO;4
27;4;SAN;4
28;4;TOMINIAN;4
29;5;MOPTI;5
30;5;BANDIAGARA;5
31;5;BANKASS;5
32;5;DJENNE;5
33;5;DOUENTZA;5
34;5;KORO;5
35;5;TENENKOU;5
36;5;YOUWAROU;5
37;6;TOMBOUCTOU;6
38;6;DIRE;6
39;6;GOUNDAM;6
40;6;GOURMA RHAROUSS;6
41;6;NIAFUNKE;6
42;7;GAO;7
43;7;ANSONGO;7
44;7;BOUREM;7
45;7;MENAKA;7
46;8;KIDAL;8
47;8;ABEIBARA;8
48;8;TESSALIT;8
49;8;TIN ESSAKO;8
50;9;BAMAKO;9
