id_village ;code_village;name_village;longitude;latidude;id_commune
1;1101001;KAYES NDI;-11,43350000;14,45635000;1
1;1101002;KHASSO;-11,42653333;14,44571667;1
1;1101003;LEGAL SEGOU;-11,45001667;14,45433333;1
1;1101004;LAFIABOUGOU;-11,45216667;14,44126667;1
1;1101005;LIBERTE;-11,43551667;14,44435000;1
1;1101006;PLATEAU;-11,43210000;14,44246667;1
2;1102001;BANGASSI NANGO;-11,50758333;14,49431667;2
2;1102002;BAMBELLA;-11,57296667;14,63381667;2
2;1102004;BANGASSI DOUDOU MAURE;-11,48721667;14,54813333;2
2;1102005;BANGASSI GOPELA;-11,50833333;14,48653333;2
2;1102008;DIAKALEL;-11,45675000;14,46193333;2
2;1102009;DJIGUIDIAN GOPELA;-11,48265000;14,47483333;2
2;1102013;MADINEL;-11,51013333;14,48850000;2
2;1102014;SEGUE MAURE;-11,39856667;14,49901667;2
2;1102015;SINTHIANE;-11,45985000;14,49373333;2
3;1103001;KABATE;-11,20685000;14,51406667;3
3;1103002;DIABOUGOU;-11,28096667;14,44026667;3
3;1103003;DIALANE;-11,17293333;14,53571667;3
3;1103004;GAMERA/GOUMERA;-11,10340000;14,47045000;3
3;1103005;KANAMAKOUNOU;-11,19811667;14,44763333;3
3;1103006;KOUROUKOULA;-11,22375000;14,46386667;3
3;1103007;TAFACIRGA;-11,12000000;14,48461667;3
3;1103008;TAKOUTALLA;-11,25530000;14,45290000;3
3;1103009;WAHIGUILOU;-11,29093333;14,46246667;3
4;1104001;DIAMOU;-11,26136667;14,08918333;4
4;1104003;BALANDOUGOU;-11,24415000;14,12778333;4
4;1104005;BOUROUKOUN;-11,22368333;14,03421667;4
4;1104007;DINGUIRA ALMAMY;-11,23881667;14,17398333;4
4;1104008;DOUROUN;-11,12143333;14,07881667;4
4;1104009;DRAMEKO;-11,04083333;14,11756667;4
4;1104010;FANGA;-11,22780000;14,21631667;4
4;1104011;FOUKARA ILE;-11,07083333;13,96050000;4
4;1104012;FOUKARA RIVE GAUCHE;-11,07406667;13,96355000;4
4;1104013;GALOUGO;-11,05625000;13,84443333;4
4;1104014;HAMAYA;-11,24153333;14,06030000;4
4;1104015;ILLIMALO;-11,05790000;14,17571667;4
4;1104016;LOGOBA;-11,22871667;14,08123333;4
4;1104017;MAKADENIA;-11,23158333;14,10448333;4
4;1104018;MAKANIA;-11,15303333;14,07910000;4
4;1104019;MOUNDINTAKO;-11,04795000;14,20220000;4
4;1104020;SABOUCIRE LAKAFIA;-11,05485000;14,19861667;4
4;1104021;TAKOUTALA;-11,20846667;14,06685000;4
4;1104022;THEMATESSOU;-11,22895000;14,05865000;4
4;1104023;TINKIN;-11,28701667;14,02420000;4
4;1104024;WASSANGARA;-11,37083333;13,91903333;4
5;1105001;AOUROU;-11,58818333;14,97255000;5
5;1105002;DINDINAYE;-11,46415000;14,99683333;5
5;1105003;HOROGNEWO;-11,68663333;14,93888333;5
5;1105004;LEYA;-11,79245000;15,10556667;5
5;1105005;MELGA SONINKE;-11,78951667;14,90196667;5
5;1105006;MELGA TOUCOULEUR;-11,79068333;14,91460000;5
5;1105007;NAHALY;-11,76070000;15,06465000;5
5;1105008;SAMBAWANSSI;-11,64613333;14,92090000;5
5;1105009;SAREYERO;-11,71441667;14,93526667;5
5;1105010;SERENATY;-11,72848333;14,91776667;5
5;1105011;TICHY AMBIDEDI;-11,79133333;14,99135000;5
6;1106001;DAKASSENOU;-12,01945000;14,28938333;6
6;1106002;DIABOUGOU;-12,21471667;14,54081667;6
6;1106003;DIALAMBI;-12,21421667;14,51195000;6
6;1106004;DIBOLI;-12,20121667;14,45456667;6
6;1106005;DIGUI;-12,12091667;14,37161667;6
6;1106006;FOUROUKARANE;-12,19961667;14,41630000;6
6;1106007;NAHE PEULHS;-12,19875000;14,41921667;6
6;1106008;SAMBA DRAMANE;-12,18365000;14,56556667;6
7;1107001;FEGUI;-12,14818333;14,62333333;7
8;1108001;GORY GOPELA;-11,33656667;14,61761667;8
8;1108002;BOUGOUTINTI GOPELA;-11,34678333;14,56950000;8
8;1108003;DAG DAG;-11,43013333;14,58655000;8
8;1108004;KOUMAREFARA;-11,34878333;14,71605000;8
8;1108005;TICHY GANSOYE;-11,33926667;14,65756667;8
9;1109001;GOUMERA;-11,29886667;14,55725000;9
10;1110001;GAKOURA RD;-11,83821667;14,61276667;0
10;1110002;AMBIDEDI R.D.;-11,75655000;14,58745000;0
10;1110003;BOKO DIAMBY;-11,87415000;14,83360000;0
10;1110004;BOKORO;-11,73508333;14,66933333;0
10;1110005;BOUILLAGUI;-11,79146667;14,80790000;0
10;1110006;GAGNY;-11,68696667;14,58855000;0
10;1110007;GOUNALA/GOUSSELA;-11,97591667;14,66718333;0
10;1110008;SANSANGUE;-11,95440000;14,77003333;0
10;1110009;SEKEKETE GAGNY;-11,64660000;14,64480000;0
10;1110010;TROULA;-11,66865000;14,76330000;0
11;1111001;MEDINE;-11,36680000;14,37525000;1
11;1111002;BANKASSI;-11,35075000;14,34830000;1
11;1111003;BOTEGUEKOUROU;-11,51177000;14,47775000;1
11;1111004;FATOLA;-11,31216667;14,35825000;1
11;1111005;KAFA;-11,36711667;14,32351667;1
11;1111006;KEGNOU;-11,38031667;14,40671667;1
11;1111007;KOUNDA;-11,31846667;14,34416667;1
11;1111008;LOMBA;-11,27660000;14,40548333;1
11;1111009;LONTOU;-11,34805000;14,34828333;1
11;1111010;MAMOUDIYA;-11,33340000;14,34733333;1
12;1112001;TEICHIBE;-11,70600000;15,27308333;2
12;1112002;AITE;-11,64543333;15,09155000;2
12;1112003;BOUTINGUISSE;-11,64895000;15,15146667;2
12;1112004;KALINIORO;-11,74990000;15,35806667;2
12;1112005;SIEOUENA GANDEGA;-11,75210000;15,18551667;2
12;1112006;SIOUENA SOUMARE;-11,78410000;15,18711667;2
12;1112007;SIOUENA TOUCOULEUR;-11,78356667;15,18770000;2
13;1113001;AMBIDEDI POSTE;-11,79256667;14,58703333;3
13;1113005;DIAKANDAPE-PLANTATION;-11,63825000;14,55376667;3
13;1113006;DIAKANDAPE-VILLAGE;-11,61135000;14,53730000;3
13;1113007;DRAMANE;-11,90246667;14,61886667;3
13;1113008;GAKOURA RG;-11,84368333;14,60650000;3
13;1113009;GOUELE;-11,85300000;14,39348333;3
13;1113010;KANANGUILE;-11,80796667;14,59661667;3
13;1113011;MAKADOUGOU;-11,91445000;14,62585000;3
13;1113012;MAKALAGARE;-11,91841667;14,63488333;3
13;1113013;MOUSSALA;-11,71651667;14,57096667;3
13;1113014;SONGONE;-11,86136667;14,60816667;3
13;1113015;TAKOUTALLA;-11,67260000;14,57598333;3
13;1113016;TAMBOKANE;-11,65653333;14,56641667;3
13;1113018;TOUBABOUKANE;-11,92226667;14,63890000;3
14;1114001;KOULOUM;-11,37030000;14,45100000;4
14;1114002;AOURO DIALLO;-11,32571667;14,43425000;4
14;1114003;DOUSSOUKANE;-11,38620000;14,43531667;4
14;1114004;GABOU GOPELA;-11,28525000;14,50168333;4
14;1114005;KEGNOU SOUTE;-11,37015000;14,40926667;4
14;1114006;KERSIGNANE;-11,36313333;14,47143333;4
14;1114007;LOUPOUROU;-11,29293333;14,43480000;4
14;1114008;SABOUCIREDING;-11,33835000;14,42418333;4
14;1114009;SALLIABOUGOU;-11,34453333;14,45895000;4
14;1114010;SEGUE PEULH;-11,36855000;14,46966667;4
14;1114011;SOUTOUKOULE;-11,41496667;14,44983333;4
15;1115001;KONIAKARY;-10,90065000;14,57665000;5
16;1116001;KOUSSANE;-11,23348333;14,88525000;6
16;1116002;AINAMOLO;-11,21851667;14,78630000;6
16;1116003;ASSEYE OULD ZEBA;-11,33035000;15,11556667;6
16;1116004;BILAZMIR;-11,24923333;15,01105000;6
16;1116005;CHARAK;-11,15783333;14,88791667;6
16;1116006;DABA;-11,31420000;15,33491667;6
16;1116008;DAVO;-11,08115000;15,27318333;6
16;1116009;DEBO;-11,21320000;14,82135000;6
16;1116010;EL GELEITA;-11,19446667;15,38641667;6
16;1116011;EL KABRA;-11,07471667;15,20236667;6
